-0.198309 1.527699 10.382841  0.311075 0.414692
1.486114 1.451538 16.923702  0.311075 0.622045 0.829420
1.788925 1.460421 14.267741  0.622045 0.829420
1.745693 1.412178 15.491501  0.829420 1.140497
1.188301 1.237031 24.828535  1.140497 1.451596
-13.454309 -1.228543 34.835503  1.451596 1.762569 2.073666
1.164841 1.361946 23.440691  1.762569 2.073666
-7.624069 0.508827 28.457201  2.073666 2.384639
-2.148723 1.313132 28.755959  2.384639 2.695832
-8.292647 0.250038 33.156635  2.695832 3.006768
-1.930135 -5.188475 52.330654  3.006768 3.317669 3.628545
-15.152675 -4.246591 59.779434  3.006768 3.317669 3.628545 4.043107 4.457940 4.250460 3.835871
-5.493784 1.264644 48.498753  3.628545 4.043107 4.457940 4.250460 3.835871 4.665293
-7.565387 1.347906 51.132782  4.043107 4.457940 4.250460 4.976146 4.665293
-9.352168 1.250659 61.261261  4.457940 4.250460 4.976146 4.665293 5.598233 5.909185
-5.546710 1.194544 57.641155  3.628545 4.043107 4.457940 4.250460 3.835871 4.976146 4.665293 5.287117 5.598233
-14.893969 -1.646330 57.536518  4.043107 4.457940 4.250460 3.835871 4.976146 4.665293
-7.958711 -6.172540 126.166000  4.457940 4.976146 4.665293 5.287117 6.427659 7.153323 7.878754 7.464167 6.842350 7.671396 8.086111 8.811795 8.500847 8.293470 9.641587 10.160830 5.598233 6.116541 5.909185
-11.322237 0.765430 56.662048  4.457940 4.976146 4.665293
-3.927104 -4.708531 72.308899  4.043107 4.457940 4.665293 5.287117
-14.374085 -7.072021 161.963486  3.628545 4.043107 4.457940 4.250460 4.665293 5.287117 6.427659 7.153323 7.878754 7.464167 7.671396 8.086111 8.811795 9.226512 8.500847 8.293470 9.641587 10.160830 10.784610
-1.331427 -6.747353 114.530067  6.427659 7.153323 7.878754 7.464167 6.842350 7.671396 8.086111
0.214328 -7.953718 103.150314  7.153323 7.878754 7.671396
