2.474053 0.928631 7.559743  0.310262 0.413621
3.382337 1.517115 29.341961  0.310262 1.757843 1.344229
-5.544565 -2.326495 31.555658  1.757843 2.275131
-4.966246 1.665329 35.047787  2.275131 2.689023
-5.092619 -1.005044 32.574955  2.689023 2.999556
2.459155 1.086502 35.275867  2.999556 3.310078
-1.061687 1.773177 43.161869  3.310078 3.827725 4.142151 3.620721
11.410984 0.181367 90.187286  3.827725 4.760815 5.174268 6.727294 7.038067 6.105870 8.074250 7.353300 6.524037 9.525112 8.799662 5.588095 4.142151 4.449183
18.670376 -3.150090 94.001083  4.760815 5.174268 6.727294 7.038067 6.105870 8.074250 7.353300 6.524037 9.525112 5.588095
3.172042 -3.413819 71.221001  5.174268 6.727294 7.141701 8.074250 7.353300 6.524037
18.742224 -5.028708 78.980377  6.727294 7.038067 7.353300 9.939685
-7.141728 -0.234781 70.994278  6.727294 7.038067 6.105870 7.141701 8.074250 7.353300 6.524037
1.478673 -2.307390 72.328987  6.105870 7.141701 8.074250
19.793848 -2.901456 79.168983  7.038067 7.141701 8.074250 9.525112 9.939685 8.799662
4.852609 -3.709843 75.410789  7.038067 7.141701 8.074250
2.500275 -3.386403 71.202545  6.727294 7.038067 7.141701 8.074250 7.353300 8.799662
-0.599007 1.789052 60.534229  7.141701 8.074250 7.353300
20.185345 -5.086183 78.195900  7.038067 8.074250 7.353300 6.524037 9.525112 9.939685 8.799662
23.563911 -6.986629 94.220108  2.999556 6.727294 7.038067 6.105870 8.074250 7.353300 6.524037 9.525112 9.939685 8.799662
21.741848 -3.047016 59.770023  9.525112 10.250360 10.664530 11.385900 11.077200 9.939685
23.247726 0.390420 56.613113  10.250360 10.664530 11.799490 11.385900 11.077200
44.347874 -1.579493 70.690269  10.250360 10.664530 11.799490 11.385900 11.077200 12.211190
59.123661 -8.196517 39.946461  10.250360 10.664530 11.799490 11.385900 11.077200 12.211190 13.244210 13.554880 13.864670 12.727430
58.634254 -6.972187 49.920135  11.799490 11.385900 11.077200 12.211190 12.727430
41.321342 -2.010820 65.699890  11.799490 11.385900 11.077200 12.211190 13.244210 12.727430
78.937393 -6.512955 57.008282  12.211190 13.244210 13.864670 14.588970 15.106400 15.520220 16.039410 16.554450 17.175580
48.956406 -2.874467 64.786484  13.244210 13.554880 14.588970 14.175050
73.936661 -9.281963 65.673714  13.244210 13.554880 13.864670
49.037842 -3.411403 64.984123  13.864670 14.588970 15.106400 14.175050
45.076740 -1.026921 58.579205  14.588970 15.106400
48.169174 -1.334151 51.812035  15.106400 15.520220
66.229813 -5.318731 64.748131  15.520220 16.039410 16.554450 17.175580
64.835548 -5.380332 65.484772  16.039410 16.554450 17.175580
110.714035 -19.743427 67.313965  16.039410 16.554450 17.175580 17.693880
64.345459 -5.978669 65.867126  17.175580 17.693880
437.859863 -91.364891 151.284363  15.520220 16.039410 16.554450 17.175580 17.693880 23.694540
106.745827 -11.084403 84.494423  23.694540 24.004580
138.226761 -8.472528 87.995476  23.694540 24.004580 24.422100 25.556300 26.177790 24.935580 26.693580 27.107250 27.417420 28.037820 27.727690 28.451340
144.544388 -15.729423 89.795448  23.694540 24.004580 24.422100 21.624800 22.762490 22.969530 23.176610 23.384670 24.935580 22.038410
